Año	Mes	Dia	DiaSemana	Hora	Minuto	Cuenta	A/N
2018	7	3	1	       	0	0	98	Normal
2018	7	3	1	       	0	10	102	Normal
2018	7	3	1	       	0	20	99	Normal
2018	7	3	1	       	0	30	101	Normal
2018	7	3	1	       	0	40	100	Normal
2018	7	3	1	       	0	50	100	Normal
2018	7	3	1	       	1	0	101	Normal
2018	7	3	1	       	1	10	101	Normal
2018	7	3	1	       	1	20	100	Normal
2018	7	3	1	       	1	30	99	Normal
2018	7	3	1	       	1	40	102	Normal
2018	7	3	1	       	1	50	99	Normal
2018	7	3	1	       	2	0	101	Normal
2018	7	3	1	       	2	10	99	Normal
2018	7	3	1	       	2	20	100	Normal
2018	7	3	1	       	2	30	100	Normal
2018	7	3	1	       	2	40	100	Normal
2018	7	3	1	       	2	50	100	Normal
2018	7	3	1	       	3	0	100	Normal
2018	7	3	1	       	3	10	102	Normal
2018	7	3	1	       	3	20	99	Normal
2018	7	3	1	       	3	30	101	Normal
2018	7	3	1	       	3	40	102	Normal
2018	7	3	1	       	3	50	101	Normal
2018	7	3	1	       	4	0	101	Normal
2018	7	3	1	       	4	10	99	Normal
2018	7	3	1	       	4	20	101	Normal
2018	7	3	1	       	4	30	99	Normal
2018	7	3	1	       	4	40	100	Normal
2018	7	3	1	       	4	50	101	Normal
2018	7	3	1	       	5	0	99	Normal
2018	7	3	1	       	5	10	102	Normal
2018	7	3	1	       	5	20	101	Normal
2018	7	3	1	       	5	30	99	Normal
2018	7	3	1	       	5	40	99	Normal
2018	7	3	1	       	5	50	102	Normal
2018	7	3	1	       	6	0	99	Normal
2018	7	3	1	       	6	10	99	Normal
2018	7	3	1	       	6	20	100	Normal
2018	7	3	1	       	6	30	98	Normal
2018	7	3	1	       	6	40	101	Normal
2018	7	3	1	       	6	50	99	Normal
2018	7	3	1	       	7	0	200	Normal
2018	7	3	1	       	7	10	199	Normal
2018	7	3	1	       	7	20	197	Normal
2018	7	3	1	       	7	30	197	Normal
2018	7	3	1	       	7	40	198	Normal
2018	7	3	1	       	7	50	198	Normal
2018	7	3	1	       	8	0	201	Normal
2018	7	3	1	       	8	10	199	Normal
2018	7	3	1	       	8	20	201	Normal
2018	7	3	1	       	8	30	201	Normal
2018	7	3	1	       	8	40	201	Normal
2018	7	3	1	       	8	50	203	Normal
2018	7	3	1	       	9	0	201	Normal
2018	7	3	1	       	9	10	200	Normal
2018	7	3	1	       	9	20	195	Normal
2018	7	3	1	       	9	30	198	Normal
2018	7	3	1	       	9	40	199	Normal
2018	7	3	1	       	9	50	197	Normal
2018	7	3	1	       	10	0	197	Normal
2018	7	3	1	       	10	10	201	Normal
2018	7	3	1	       	10	20	202	Normal
2018	7	3	1	       	10	30	196	Normal
2018	7	3	1	       	10	40	202	Normal
2018	7	3	1	       	10	50	199	Normal
2018	7	3	1	       	11	0	203	Normal
2018	7	3	1	       	11	10	200	Normal
2018	7	3	1	       	11	20	196	Normal
2018	7	3	1	       	11	30	203	Normal
2018	7	3	1	       	11	40	200	Normal
2018	7	3	1	       	11	50	203	Normal
2018	7	3	1	       	12	0	194	Normal
2018	7	3	1	       	12	10	197	Normal
2018	7	3	1	       	12	20	201	Normal
2018	7	3	1	       	12	30	199	Normal
2018	7	3	1	       	12	40	199	Normal
2018	7	3	1	       	12	50	196	Normal
2018	7	3	1	       	13	0	198	Normal
2018	7	3	1	       	13	10	200	Normal
2018	7	3	1	       	13	20	203	Normal
2018	7	3	1	       	13	30	205	Normal
2018	7	3	1	       	13	40	201	Normal
2018	7	3	1	       	13	50	200	Normal
2018	7	3	1	       	14	0	202	Normal
2018	7	3	1	       	14	10	203	Normal
2018	7	3	1	       	14	20	199	Normal
2018	7	3	1	       	14	30	203	Normal
2018	7	3	1	       	14	40	200	Normal
2018	7	3	1	       	14	50	198	Normal
2018	7	3	1	       	15	0	200	Normal
2018	7	3	1	       	15	10	204	Normal
2018	7	3	1	       	15	20	198	Normal
2018	7	3	1	       	15	30	200	Normal
2018	7	3	1	       	15	40	201	Normal
2018	7	3	1	       	15	50	200	Normal
2018	7	3	1	       	16	0	199	Normal
2018	7	3	1	       	16	10	198	Normal
2018	7	3	1	       	16	20	203	Normal
2018	7	3	1	       	16	30	196	Normal
2018	7	3	1	       	16	40	197	Normal
2018	7	3	1	       	16	50	199	Normal
2018	7	3	1	       	17	0	199	Normal
2018	7	3	1	       	17	10	200	Normal
2018	7	3	1	       	17	20	198	Normal
2018	7	3	1	       	17	30	201	Normal
2018	7	3	1	       	17	40	199	Normal
2018	7	3	1	       	17	50	200	Normal
2018	7	3	1	       	18	0	99	Normal
2018	7	3	1	       	18	10	99	Normal
2018	7	3	1	       	18	20	99	Normal
2018	7	3	1	       	18	30	99	Normal
2018	7	3	1	       	18	40	103	Normal
2018	7	3	1	       	18	50	102	Normal
2018	7	3	1	       	19	0	100	Normal
2018	7	3	1	       	19	10	100	Normal
2018	7	3	1	       	19	20	101	Normal
2018	7	3	1	       	19	30	97	Normal
2018	7	3	1	       	19	40	101	Normal
2018	7	3	1	       	19	50	99	Normal
2018	7	3	1	       	20	0	99	Normal
2018	7	3	1	       	20	10	100	Normal
2018	7	3	1	       	20	20	100	Normal
2018	7	3	1	       	20	30	99	Normal
2018	7	3	1	       	20	40	100	Normal
2018	7	3	1	       	20	50	101	Normal
2018	7	3	1	       	21	0	99	Normal
2018	7	3	1	       	21	10	99	Normal
2018	7	3	1	       	21	20	99	Normal
2018	7	3	1	       	21	30	98	Normal
2018	7	3	1	       	21	40	100	Normal
2018	7	3	1	       	21	50	99	Normal
2018	7	3	1	       	22	0	101	Normal
2018	7	3	1	       	22	10	98	Normal
2018	7	3	1	       	22	20	99	Normal
2018	7	3	1	       	22	30	100	Normal
2018	7	3	1	       	22	40	102	Normal
2018	7	3	1	       	22	50	99	Normal
2018	7	3	1	       	23	0	101	Normal
2018	7	3	1	       	23	10	99	Normal
2018	7	3	1	       	23	20	101	Normal
2018	7	3	1	       	23	30	100	Normal
2018	7	3	1	       	23	40	99	Normal
2018	7	3	1	       	23	50	98	Normal
2018	7	4	2	       	0	0	98	Normal
2018	7	4	2	       	0	10	98	Normal
2018	7	4	2	       	0	20	100	Normal
2018	7	4	2	       	0	30	101	Normal
2018	7	4	2	       	0	40	101	Normal
2018	7	4	2	       	0	50	101	Normal
2018	7	4	2	       	1	0	98	Normal
2018	7	4	2	       	1	10	99	Normal
2018	7	4	2	       	1	20	102	Normal
2018	7	4	2	       	1	30	100	Normal
2018	7	4	2	       	1	40	100	Normal
2018	7	4	2	       	1	50	99	Normal
2018	7	4	2	       	2	0	98	Normal
2018	7	4	2	       	2	10	98	Normal
2018	7	4	2	       	2	20	99	Normal
2018	7	4	2	       	2	30	100	Normal
2018	7	4	2	       	2	40	101	Normal
2018	7	4	2	       	2	50	101	Normal
2018	7	4	2	       	3	0	99	Normal
2018	7	4	2	       	3	10	98	Normal
2018	7	4	2	       	3	20	100	Normal
2018	7	4	2	       	3	30	101	Normal
2018	7	4	2	       	3	40	99	Normal
2018	7	4	2	       	3	50	100	Normal
2018	7	4	2	       	4	0	98	Normal
2018	7	4	2	       	4	10	100	Normal
2018	7	4	2	       	4	20	100	Normal
2018	7	4	2	       	4	30	100	Normal
2018	7	4	2	       	4	40	99	Normal
2018	7	4	2	       	4	50	101	Normal
2018	7	4	2	       	5	0	99	Normal
2018	7	4	2	       	5	10	101	Normal
2018	7	4	2	       	5	20	100	Normal
2018	7	4	2	       	5	30	99	Normal
2018	7	4	2	       	5	40	101	Normal
2018	7	4	2	       	5	50	101	Normal
2018	7	4	2	       	6	0	100	Normal
2018	7	4	2	       	6	10	100	Normal
2018	7	4	2	       	6	20	100	Normal
2018	7	4	2	       	6	30	100	Normal
2018	7	4	2	       	6	40	98	Normal
2018	7	4	2	       	6	50	97	Normal
2018	7	4	2	       	7	0	200	Normal
2018	7	4	2	       	7	10	202	Normal
2018	7	4	2	       	7	20	197	Normal
